par_cz,kid_race,par_pctile,shrunk_xkid_delinq90_02020,cz_name
100,White,25,.6228192486702128,Johnson City
100,White,-9,.5000967088607594,Johnson City
100,Black,-9,.7158211038961039,Johnson City
100,White,75,.3537250198255353,Johnson City
100,Asian,25,.3500061538461539,Johnson City
100,AIAN,-9,.5375,Johnson City
100,Pooled,50,.4920293579348129,Johnson City
100,Pooled,25,.6248610026550054,Johnson City
100,Asian,-9,.3057169230769231,Johnson City
100,Asian,75,.2614276923076923,Johnson City
100,Black,25,.7773256281407035,Johnson City
100,Hispanic,25,.6134848484848485,Johnson City
100,Pooled,75,.3591977132146205,Johnson City
100,Hispanic,-9,.5219744791666667,Johnson City
100,AIAN,75,.4112,Johnson City
100,Black,75,.6035330275229358,Johnson City
100,Hispanic,50,.519022531769306,Johnson City
100,Hispanic,75,.4245602150537635,Johnson City
100,Black,50,.6904293278318197,Johnson City
100,AIAN,25,.6638000000000001,Johnson City
100,Pooled,-9,.5041152496166297,Johnson City
100,White,50,.488272134247874,Johnson City
100,AIAN,50,.5375000000000001,Johnson City
100,Asian,50,.3057169230769231,Johnson City
200,AIAN,50,.64505,Morristown
200,Black,-9,.7074189393939394,Morristown
200,AIAN,75,.5221,Morristown
200,AIAN,25,.768,Morristown
200,Pooled,25,.6197464464464464,Morristown
200,Pooled,50,.5002763183273312,Morristown
200,Hispanic,25,.6469769230769231,Morristown
200,Asian,75,.4429666666666667,Morristown
200,White,50,.4938276018845701,Morristown
200,Black,75,.6379510204081633,Morristown
200,Hispanic,-9,.5352040816326531,Morristown
200,Pooled,-9,.530807017176372,Morristown
200,Black,50,.6931905704450455,Morristown
200,White,25,.6168565371024736,Morristown
200,Asian,-9,.4250166666666667,Morristown
200,Black,25,.7484301204819277,Morristown
200,AIAN,-9,.64505,Morristown
200,Asian,25,.4070666666666666,Morristown
200,Asian,50,.4250166666666667,Morristown
200,White,75,.3707986666666667,Morristown
200,Hispanic,75,.4088521739130436,Morristown
200,Hispanic,50,.5279145484949833,Morristown
200,Pooled,75,.380806190208216,Morristown
200,White,-9,.5262325446428572,Morristown
301,White,-9,.5425403738317758,Middlesborough
301,Hispanic,-9,.5751999999999999,Middlesborough
301,Hispanic,75,.4868,Middlesborough
301,Pooled,75,.3936396226415095,Middlesborough
301,Asian,25,.35885,Middlesborough
301,Asian,75,.30545,Middlesborough
301,Black,25,.75915,Middlesborough
301,White,50,.4894769444444445,Middlesborough
301,Pooled,-9,.5411380789022299,Middlesborough
301,Black,50,.669175,Middlesborough
301,Black,-9,.669175,Middlesborough
301,White,25,.5966050000000001,Middlesborough
301,White,75,.3823488888888889,Middlesborough
301,Hispanic,25,.6636,Middlesborough
301,Asian,-9,.33215,Middlesborough
301,Asian,50,.33215,Middlesborough
301,Pooled,50,.4950448113207547,Middlesborough
301,Black,75,.5791999999999999,Middlesborough
301,Hispanic,50,.5751999999999999,Middlesborough
301,Pooled,25,.5964499999999999,Middlesborough
302,Hispanic,25,.6043487951807228,Knoxville
302,Hispanic,75,.489465,Knoxville
302,White,25,.6159079062957541,Knoxville
302,AIAN,25,.7748599999999999,Knoxville
302,Black,50,.7251489641139475,Knoxville
302,Black,75,.6575861635220127,Knoxville
302,Hispanic,50,.5469068975903614,Knoxville
302,Asian,50,.2709933681073026,Knoxville
302,Black,-9,.7536481818181819,Knoxville
302,Black,25,.7927117647058823,Knoxville
302,Asian,25,.3078818181818182,Knoxville
302,White,50,.4818299756427646,Knoxville
302,AIAN,50,.60732,Knoxville
302,White,-9,.4727352941176471,Knoxville
302,AIAN,75,.43978,Knoxville
302,White,75,.3477520449897751,Knoxville
302,Asian,75,.2341049180327869,Knoxville
302,AIAN,-9,.60732,Knoxville
302,Asian,-9,.2650209523809524,Knoxville
302,Pooled,25,.6305289020996712,Knoxville
302,Pooled,50,.4955463968101388,Knoxville
302,Pooled,75,.3605638915206064,Knoxville
302,Hispanic,-9,.5517875816993464,Knoxville
302,Pooled,-9,.4911047706422019,Knoxville
401,Hispanic,50,.527278070302068,Winston-Salem
401,Asian,75,.2502904761904762,Winston-Salem
401,Black,-9,.7616641182466871,Winston-Salem
401,White,75,.3330084507042254,Winston-Salem
401,Black,25,.8012161825726141,Winston-Salem
401,AIAN,25,.7528120000000001,Winston-Salem
401,Hispanic,-9,.5453762857142858,Winston-Salem
401,White,50,.459511127709015,Winston-Salem
401,Asian,-9,.2885236842105263,Winston-Salem
401,Black,75,.6508263565891474,Winston-Salem
401,Asian,50,.2930217086834734,Winston-Salem
401,AIAN,75,.543424,Winston-Salem
401,Pooled,50,.5066252514842846,Winston-Salem
401,AIAN,50,.6481180000000001,Winston-Salem
401,Pooled,75,.3642743526941918,Winston-Salem
401,Pooled,25,.6489761502743774,Winston-Salem
401,AIAN,-9,.6481180000000001,Winston-Salem
401,White,-9,.4276464735516373,Winston-Salem
401,White,25,.5860138047138046,Winston-Salem
401,Black,50,.7260212695808808,Winston-Salem
401,Asian,25,.3357529411764706,Winston-Salem
401,Hispanic,25,.5859296943231441,Winston-Salem
401,Pooled,-9,.4933079395446719,Winston-Salem
