par_cz,kid_race,par_pctile,shrunk_income_resid_2020,cz_name
100,Black,25,.1819050261780105,Johnson City
100,AIAN,75,-.047025,Johnson City
100,AIAN,25,.098975,Johnson City
100,Pooled,-9,.0155709206902443,Johnson City
100,Black,-9,.155646198630137,Johnson City
100,Pooled,75,-.0590403102086858,Johnson City
100,White,25,.0763739195478724,Johnson City
100,White,75,-.0625574147501983,Johnson City
100,Asian,75,-.1113950769230769,Johnson City
100,Black,50,.1439467210097973,Johnson City
100,Hispanic,25,.0738843191919192,Johnson City
100,Hispanic,50,.0304499015314435,Johnson City
100,Asian,25,-.1045984615384615,Johnson City
100,AIAN,50,.025975,Johnson City
100,Hispanic,75,-.0129845161290323,Johnson City
100,White,50,.0069082523988371,Johnson City
100,Pooled,50,.009332875081973,Johnson City
100,White,-9,.013013191681736,Johnson City
100,Asian,50,-.1079967692307692,Johnson City
100,Asian,-9,-.1079967692307692,Johnson City
100,Pooled,25,.0777060603726319,Johnson City
100,Black,75,.1059884158415841,Johnson City
100,Hispanic,-9,.0318072270833333,Johnson City
100,AIAN,-9,.025975,Johnson City
200,AIAN,50,.1158,Morristown
200,Hispanic,75,-.0645869565217391,Morristown
200,White,25,.0718929328621908,Morristown
200,Pooled,25,.0747692852852853,Morristown
200,AIAN,25,.1697,Morristown
200,Pooled,-9,.0306662061164642,Morristown
200,Asian,-9,.019796,Morristown
200,Black,75,.1831265306122449,Morristown
200,Asian,25,.0274953333333333,Morristown
200,Black,50,.1756072412097369,Morristown
200,White,50,.0103492543098833,Morristown
200,Hispanic,50,.0124926755852843,Morristown
200,Asian,75,.0120966666666667,Morristown
200,Black,-9,.1736704545454545,Morristown
200,White,75,-.0511944242424242,Morristown
200,Pooled,75,-.0437158581879572,Morristown
200,AIAN,-9,.1158,Morristown
200,Pooled,50,.015526713548664,Morristown
200,Asian,50,.019796,Morristown
200,White,-9,.0265594196428571,Morristown
200,Hispanic,25,.0895723076923077,Morristown
200,AIAN,75,.0619,Morristown
200,Hispanic,-9,.0172118367346939,Morristown
200,Black,25,.1680879518072289,Morristown
301,Pooled,25,.0631247877358491,Middlesborough
301,Hispanic,25,.12385,Middlesborough
301,Asian,25,-.07503,Middlesborough
301,Asian,50,-.096635,Middlesborough
301,Hispanic,75,-.054825,Middlesborough
301,Black,-9,.1426255,Middlesborough
301,White,25,.062691875,Middlesborough
301,Hispanic,-9,.0345125,Middlesborough
301,Pooled,75,-.0313535974842767,Middlesborough
301,Black,25,.1622,Middlesborough
301,White,50,.0143640486111111,Middlesborough
301,Black,75,.123051,Middlesborough
301,Pooled,-9,.0373579554030875,Middlesborough
301,Pooled,50,.0158855951257862,Middlesborough
301,Black,50,.1426255,Middlesborough
301,White,-9,.0383021308411215,Middlesborough
301,Asian,75,-.11824,Middlesborough
301,Hispanic,50,.0345125,Middlesborough
301,White,75,-.0339637777777778,Middlesborough
301,Asian,-9,-.096635,Middlesborough
302,Black,-9,.1810333818181818,Knoxville
302,Black,25,.1928380051150895,Knoxville
302,Asian,50,-.1230293666169896,Knoxville
302,AIAN,50,.055434125,Knoxville
302,Asian,75,-.1196032786885246,Knoxville
302,Black,50,.1724212038154064,Knoxville
302,Hispanic,25,.0830614556962025,Knoxville
302,Black,75,.1520044025157233,Knoxville
302,Pooled,-9,.0167257950729256,Knoxville
302,AIAN,-9,.055434125,Knoxville
302,White,75,-.0605065414110429,Knoxville
302,Pooled,25,.0899370557667934,Knoxville
302,Asian,25,-.1264554545454545,Knoxville
302,Hispanic,-9,.0598875172413793,Knoxville
302,White,-9,.005363676811792,Knoxville
