par_cz,kid_race,par_pctile,shrunk_xkid_auabalance2020,cz_name
100,Asian,25,8872.276923076923,Johnson City
100,Hispanic,50,7897.349462365592,Johnson City
100,Asian,75,8640.461538461539,Johnson City
100,AIAN,25,5822,Johnson City
100,Pooled,25,7986.539697395102,Johnson City
100,Pooled,-9,9109.817168623447,Johnson City
100,Asian,50,8756.369230769231,Johnson City
100,Pooled,50,9222.081845702978,Johnson City
100,Pooled,75,10457.62399401086,Johnson City
100,Black,-9,6192.831168831169,Johnson City
100,Black,75,7094.688073394495,Johnson City
100,Asian,-9,8756.369230769231,Johnson City
100,AIAN,-9,7111.25,Johnson City
100,Hispanic,-9,7863.255208333333,Johnson City
100,AIAN,50,7111.25,Johnson City
100,White,-9,9228.409222423146,Johnson City
100,Black,25,5698.849246231156,Johnson City
100,AIAN,75,8400.5,Johnson City
100,Hispanic,75,8988.365591397849,Johnson City
100,White,25,8083.578125,Johnson City
100,Black,50,6396.768659812826,Johnson City
100,White,75,10593.85408406027,Johnson City
100,White,50,9338.716104530135,Johnson City
100,Hispanic,25,6806.333333333333,Johnson City
200,AIAN,50,5379.5,Morristown
200,White,-9,9510.564732142857,Morristown
200,White,50,9838.22393189849,Morristown
200,Black,75,9037.142857142857,Morristown
200,Pooled,50,9724.737946559657,Morristown
200,Hispanic,25,7857.76923076923,Morristown
200,White,25,8594.229681978799,Morristown
200,Pooled,-9,9417.904801670145,Morristown
200,Asian,25,8808,Morristown
200,Pooled,75,10929.43529411765,Morristown
200,AIAN,75,5911,Morristown
200,White,75,11082.21818181818,Morristown
200,Pooled,25,8520.040599001664,Morristown
200,Black,25,7029.975903614458,Morristown
200,Hispanic,75,10408.73913043478,Morristown
200,Hispanic,50,9133.254180602005,Morristown
200,Asian,50,8720.333333333332,Morristown
200,Asian,-9,8720.333333333334,Morristown
200,AIAN,-9,5379.5,Morristown
200,Asian,75,8632.666666666666,Morristown
200,AIAN,25,4848,Morristown
200,Black,-9,7775.060606060606,Morristown
200,Hispanic,-9,9055.163265306122,Morristown
200,Black,50,8033.559380378658,Morristown
301,Asian,25,7689,Middlesborough
301,Hispanic,25,5505.5,Middlesborough
301,Asian,75,7536,Middlesborough
301,Hispanic,75,6230,Middlesborough
301,Pooled,50,9137.45715408805,Middlesborough
301,White,-9,8870.351401869159,Middlesborough
301,Asian,50,7612.5,Middlesborough
301,Hispanic,-9,5867.75,Middlesborough
301,Black,-9,6963.75,Middlesborough
301,White,50,9442.495138888889,Middlesborough
301,Black,75,8086.5,Middlesborough
301,Black,25,5841,Middlesborough
301,White,75,10597.57777777778,Middlesborough
301,Pooled,75,10097.44025157233,Middlesborough
301,Pooled,-9,8701.101200686106,Middlesborough
301,White,25,8287.4125,Middlesborough
301,Black,50,6963.75,Middlesborough
301,Asian,-9,7612.5,Middlesborough
301,Hispanic,50,5867.75,Middlesborough
301,Pooled,25,8177.474056603774,Middlesborough
302,Black,50,6612.993935884444,Knoxville
302,Hispanic,-9,7506.169934640523,Knoxville
302,AIAN,25,5466.8,Knoxville
302,Asian,75,7564.704918032787,Knoxville
302,Asian,-9,7536.219047619048,Knoxville
302,AIAN,50,7065.200000000001,Knoxville
302,Pooled,50,8767.81520809169,Knoxville
302,Black,-9,6114.516363636364,Knoxville
302,Hispanic,50,7546.939371772805,Knoxville
302,Black,75,7794.729559748428,Knoxville
302,AIAN,-9,7065.2,Knoxville
302,White,25,8014.409956076135,Knoxville
302,Pooled,75,9815.267527238275,Knoxville
302,White,75,9970.374488752555,Knoxville
302,Pooled,-9,8802.281834862386,Knoxville
302,Black,25,5431.25831202046,Knoxville
302,Asian,50,7530.71609538003,Knoxville
302,White,-9,9058.730039579637,Knoxville
302,Hispanic,25,7067.114457831325,Knoxville
302,White,50,8992.392222414346,Knoxville
302,Pooled,25,7720.362888945105,Knoxville
302,Asian,25,7496.727272727273,Knoxville
302,Hispanic,75,8026.764285714286,Knoxville
302,AIAN,75,8663.6,Knoxville
401,AIAN,25,6155.2,Winston-Salem
401,Hispanic,50,8232.871016637193,Winston-Salem
401,Hispanic,25,7895.659388646288,Winston-Salem
401,Asian,25,6841,Winston-Salem
401,Pooled,50,7975.423806553687,Winston-Salem
401,Asian,75,6625.380952380952,Winston-Salem
401,Hispanic,75,8570.082644628099,Winston-Salem
401,Hispanic,-9,8128.817142857143,Winston-Salem
401,White,25,7528.771043771044,Winston-Salem
401,AIAN,-9,8705.959999999999,Winston-Salem
401,Asian,50,6733.190476190476,Winston-Salem
401,Pooled,75,8906.934569629111,Winston-Salem
401,White,75,9067.657947686117,Winston-Salem
401,AIAN,75,11256.72,Winston-Salem
401,White,-9,8492.028967254408,Winston-Salem
401,Pooled,25,7043.913043478261,Winston-Salem
401,Pooled,-9,8062.569160130094,Winston-Salem
401,Black,75,7695.441860465116,Winston-Salem
